1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2,STANFORD UNIVERSITY
3,HARVARD UNIVERSITY
4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
5,UNIVERSITY OF OXFORD
6,UNIVERSITY OF CAMBRIDGE
7,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
8,IMPERIAL COLLEGE LONDON
9,UNIVERSITY OF CHICAGO
10,UCL (UNIVERSITY COLLEGE LONDON)
11,NATIONAL UNIVERSITY OF SINGAPORE (NUS)
12,NANYANG TECHNOLOGICAL UNIVERSITY (NTU)
13,PRINCETON UNIVERSITY
14,CORNELL UNIVERSITY
15,YALE UNIVERSITY
16,COLUMBIA UNIVERSITY
17,TSINGHUA UNIVERSITY
18,UNIVERSITY OF EDINBURGH
19,UNIVERSITY OF PENNSYLVANIA
20,UNIVERSITY OF MICHIGAN
21,JOHNS HOPKINS UNIVERSITY
22,ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL)
23,THE UNIVERSITY OF TOKYO
24,AUSTRALIAN NATIONAL UNIVERSITY (ANU)
25,UNIVERSITY OF HONG KONG (HKU)
26,DUKE UNIVERSITY
27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)"
28,UNIVERSITY OF TORONTO
29,THE UNIVERSITY OF MANCHESTER
30,PEKING UNIVERSITY
31,KING'S COLLEGE LONDON (KCL)
32,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)"
33,MCGILL UNIVERSITY
34,NORTHWESTERN UNIVERSITY
35,KYOTO UNIVERSITY
36,SEOUL NATIONAL UNIVERSITY (SNU)
37,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST)
38,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE)
39,THE UNIVERSITY OF MELBOURNE
40,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
41,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)"
42,THE UNIVERSITY OF SYDNEY
43,NEW YORK UNIVERSITY (NYU)
44,FUDAN UNIVERSITY
45,THE UNIVERSITY OF NEW SOUTH WALES (UNSW)
46,CARNEGIE MELLON UNIVERSITY
47,UNIVERSITY OF BRITISH COLUMBIA
48,THE UNIVERSITY OF QUEENSLAND (UQ)
49,THE CHINESE UNIVERSITY OF HONG KONG (CUHK)
50,PSL UNIVERSITY
51,UNIVERSITY OF BRISTOL
52,DELFT UNIVERSITY OF TECHNOLOGY
53,UNIVERSITY OF WISCONSIN-MADISON
54,THE UNIVERSITY OF WARWICK
55,CITY UNIVERSITY OF HONG KONG
56,BROWN UNIVERSITY
57,UNIVERSITY OF AMSTERDAM
58,TOKYO INSTITUTE OF TECHNOLOGY
59,MONASH UNIVERSITY
60,SHANGHAI JIAO TONG UNIVERSITY
61,TECHNISCHE UNIVERSITÄT MÜNCHEN
62,LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN
63,UNIVERSITY OF TEXAS AT AUSTIN
64,RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG
65,ECOLE POLYTECHNIQUE
66,UNIVERSITY OF WASHINGTON
67,OSAKA UNIVERSITY
68,ZHEJIANG UNIVERSITY
69,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH)
70,UNIVERSITY OF GLASGOW
71,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN
72,NATIONAL TAIWAN UNIVERSITY (NTU)
73,UNIVERSIDAD DE BUENOS AIRES
74,DURHAM UNIVERSITY
75,SORBONNE UNIVERSITY
76,THE UNIVERSITY OF SHEFFIELD
77,TOHOKU UNIVERSITY
78,UNIVERSITY OF ZURICH
79,UNIVERSITY OF BIRMINGHAM
80,UNIVERSITY OF COPENHAGEN
81,KATHOLIEKE UNIVERSITEIT LEUVEN
82,THE UNIVERSITY OF NOTTINGHAM
83,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH)
84,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
85,THE UNIVERSITY OF AUCKLAND
86,KOREA UNIVERSITY
87,RICE UNIVERSITY
88,UNIVERSITI MALAYA (UM)
89,OHIO STATE UNIVERSITY
90,LOMONOSOV MOSCOW STATE UNIVERSITY
91,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA)
92,LUND UNIVERSITY
93,BOSTON UNIVERSITY
94,UNIVERSITY OF LEEDS
95,PENNSYLVANIA STATE UNIVERSITY
96,UNIVERSITY OF SOUTHAMPTON
97,UNIVERSITY OF ST ANDREWS
98,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA
99,EINDHOVEN UNIVERSITY OF TECHNOLOGY
100,PURDUE UNIVERSITY
